date,close,Bid,Ask,asset
11-Sept-2020,1.18465,1.1845,1.1848,EUR
04-Sept-2020,1.184,1.1838,1.1842,EUR
28-Aug-2020,1.1905,1.1903,1.1907,EUR
21-Aug-2020,1.1797,1.1795,1.1799,EUR
14-Aug-2020,1.18425,1.1841,1.1844,EUR
07-Aug-2020,1.1788,1.1786,1.1790,EUR
31-Jul-2020,1.1776,1.1774,1.1778,EUR
24-Jul-2020,1.1656,1.1654,1.1658,EUR
17-Jul-2020,1.1428,1.1426,1.1430,EUR
10-Jul-2020,1.13,1.1298,1.1302,EUR
03-Jul-2020,1.1249,1.1248,1.1250,EUR
26-Jun-2020,1.1219,1.1217,1.1221,EUR
19-Jun-2020,1.1177,1.1175,1.1179,EUR
12-Jun-2020,1.1256,1.1254,1.1258,EUR
05-Jun-2020,1.1286,1.1284,1.1288,EUR
29-May-2020,1.1099,1.1098,1.1100,EUR
22-May-2020,1.0902,1.0900,1.0904,EUR
15-May-2020,1.0816,1.0815,1.0817,EUR
08-May-2020,1.08405,1.0840,1.0841,EUR
01-May-2020,1.0985,1.0983,1.0987,EUR
24-Apr-2020,1.0821,1.0820,1.0822,EUR
17-Apr-2020,1.0878,1.0876,1.0880,EUR
10-Apr-2020,1.0936,1.0935,1.0937,EUR
03-Apr-2020,1.0809,1.0808,1.0810,EUR
27-Mar-2020,1.1142,1.1140,1.1144,EUR
20-Mar-2020,1.0695,1.0694,1.0696,EUR
13-Mar-2020,1.11065,1.1105,1.1108,EUR
06-Mar-2020,1.1286,1.1285,1.1287,EUR
28-Feb-2020,1.10265,1.1025,1.1028,EUR
21-Feb-2020,1.0845,1.0843,1.0847,EUR
14-Feb-2020,1.0832,1.0830,1.0834,EUR
07-Feb-2020,1.0945,1.0943,1.0947,EUR
31-Jan-2020,1.1094,1.1093,1.1095,EUR
24-Jan-2020,1.1025,1.1023,1.1027,EUR
17-Jan-2020,1.109,1.1088,1.1092,EUR
10-Jan-2020,1.1122,1.1120,1.1124,EUR
03-Jan-2020,1.116,1.1158,1.1162,EUR
27-Dec-2019,1.11765,1.1175,1.1178,EUR
20-Dec-2019,1.1079,1.1078,1.1080,EUR
13-Dec-2019,1.1121,1.1119,1.1123,EUR
06-Dec-2019,1.1059,1.1057,1.1061,EUR
29-Nov-2019,1.1017,1.1015,1.1019,EUR
22-Nov-2019,1.1024,1.1022,1.1026,EUR
15-Nov-2019,1.1052,1.1050,1.1054,EUR
08-Nov-2019,1.1018,1.1016,1.1020,EUR
01-Nov-2019,1.1167,1.1165,1.1169,EUR
25-Oct-2019,1.108,1.1078,1.1082,EUR
18-Oct-2019,1.1171,1.1169,1.1173,EUR
