date,Close,Bid,Ask,asset
19-Jan-2018,87.54,87.52,87.53,HYG
12-Jan-2018,87.58,87.57,87.58,HYG
05-Jan-2018,87.97,87.96,87.97,HYG
29-Dec-2017,87.26,87.23,87.24,HYG
22-Dec-2017,87.00,87.01,87.02,HYG
15-Dec-2017,87.21,87.20,87.21,HYG
08-Dec-2017,87.35,87.34,87.35,HYG
01-Dec-2017,87.38,87.35,87.36,HYG
24-Nov-2017,87.87,87.86,87.87,HYG
17-Nov-2017,87.47,87.46,87.47,HYG
10-Nov-2017,87.11,87.13,87.14,HYG
03-Nov-2017,87.98,87.97,87.98,HYG
27-Oct-2017,88.47,88.46,88.47,HYG
20-Oct-2017,88.69,88.67,88.68,HYG
13-Oct-2017,88.33,88.32,88.33,HYG
06-Oct-2017,88.40,88.40,88.41,HYG
29-Sept-2017,88.76,88.74,88.75,HYG
22-Sept-2017,88.43,88.41,88.42,HYG
15-Sept-2017,88.41,88.40,88.41,HYG
08-Sept-2017,87.79,87.80,87.81,HYG
01-Sept-2017,88.32,88.30,88.31,HYG
25-Aug-2017,88.22,88.21,88.22,HYG
18-Aug-2017,87.47,87.46,87.47,HYG
11-Aug-2017,87.33,87.34,87.35,HYG
04-Aug-2017,88.50,88.48,88.49,HYG
28-Jul-2017,88.91,88.88,88.89,HYG
21-Jul-2017,88.73,88.73,88.74,HYG
14-Jul-2017,88.53,88.51,88.52,HYG
07-Jul-2017,87.60,87.61,87.62,HYG
30-Jun-2017,88.39,88.37,88.38,HYG
23-Jun-2017,88.20,88.20,88.21,HYG
16-Jun-2017,88.15,88.15,88.16,HYG
09-Jun-2017,88.32,88.31,88.33,HYG
02-Jun-2017,88.58,88.61,88.62,HYG
26-May-2017,88.57,88.55,88.56,HYG
19-May-2017,88.18,88.21,88.22,HYG
12-May-2017,87.98,87.99,88.00,HYG
05-May-2017,87.58,87.56,87.57,HYG
28-Apr-2017,88.12,88.13,88.14,HYG
21-Apr-2017,87.60,87.57,87.58,HYG
14-Apr-2017,87.22,87.22,87.23,HYG
07-Apr-2017,87.39,87.39,87.40,HYG
31-Mar-2017,87.78,87.78,87.79,HYG
24-Mar-2017,86.83,86.81,86.82,HYG
17-Mar-2017,87.08,87.08,87.09,HYG
10-Mar-2017,86.30,86.34,86.35,HYG
03-Mar-2017,87.99,87.99,88.00,HYG
24-Feb-2017,88.25,88.22,88.23,HYG
17-Feb-2017,87.77,87.75,87.76,HYG
10-Feb-2017,87.53,87.53,87.54,HYG
03-Feb-2017,87.48,87.47,87.48,HYG
27-Jan-2017,87.61,87.62,87.63,HYG
20-Jan-2017,87.20,87.18,87.19,HYG
13-Jan-2017,87.32,87.28,87.29,HYG
06-Jan-2017,87.23,87.22,87.23,HYG
30-Dec-2016,86.55,86.54,86.55,HYG
23-Dec-2016,86.60,86.59,86.60,HYG
16-Dec-2016,86.05,86.05,86.06,HYG
09-Dec-2016,86.49,86.49,86.50,HYG
02-Dec-2016,85.38,85.35,85.36,HYG
25-Nov-2016,85.73,85.72,85.73,HYG
18-Nov-2016,84.63,84.65,84.66,HYG
11-Nov-2016,83.47,83.51,83.52,HYG
04-Nov-2016,84.98,84.98,84.99,HYG
28-Oct-2016,86.28,86.28,86.29,HYG
21-Oct-2016,87.37,87.37,87.38,HYG
14-Oct-2016,86.86,86.81,86.82,HYG
07-Oct-2016,87.15,87.10,87.11,HYG
30-Sept-2016,87.26,87.25,87.26,HYG
